Type,Price,MPG_city,DriveTrain,Passengers,Weight
Small,15.9,25,Front,5,2705
Midsize,33.9,18,Front,5,3560
Compact,29.1,20,Front,5,3375
Midsize,37.7,19,Front,6,3405
Midsize,30,22,Rear,4,3640
Midsize,15.7,22,Front,6,2880
Large,20.8,19,Front,6,3470
Large,23.7,16,Rear,6,4105
Midsize,26.3,19,Front,5,3495
Large,34.7,16,Front,6,3620
Midsize,40.1,16,Front,5,3935
Compact,13.4,25,Front,5,2490
Compact,11.4,25,Front,5,2785
Sporty,15.1,19,Rear,4,3240
Midsize,15.9,21,Front,6,3195
Van,16.3,18,Front,7,3715
Van,16.6,15,4WD,8,4025
Large,18.8,17,Rear,6,3910
Sporty,38,17,Rear,2,3380
Large,18.4,20,Front,6,3515
Compact,15.8,23,Front,6,3085
Large,29.5,20,Front,6,3570
Small,9.2,29,Front,5,2270
Small,11.3,23,Front,5,2670
Compact,13.3,22,Front,6,2970
Van,19,17,4WD,7,3705
Midsize,15.6,21,Front,6,3080
Sporty,25.8,18,4WD,4,3805
Small,12.2,29,Front,5,2295
Large,19.3,20,Front,6,3490
Small,7.4,31,Front,4,1845
Small,10.1,23,Front,5,2530
Compact,11.3,22,Front,5,2690
Sporty,15.9,22,Rear,4,2850
Sporty,14,24,Front,4,2710
Van,19.9,15,4WD,7,3735
Midsize,20.2,21,Front,5,3325
Large,20.9,18,Rear,6,3950
Small,8.4,46,Front,4,1695
Sporty,12.5,30,Front,4,2475
Sporty,19.8,24,Front,4,2865
Small,12.1,42,Front,4,2350
Compact,17.5,24,Front,4,3040
Small,8,29,Front,5,2345
Small,10,22,Front,5,2620
Sporty,10,26,Front,4,2285
Midsize,13.9,20,Front,5,2885
Midsize,47.9,17,Rear,5,4000
Midsize,28,18,Front,5,3510
Midsize,35.2,18,Rear,4,3515
Midsize,34.3,17,Front,6,3695
Large,36.1,18,Rear,6,4055
Small,8.3,29,Front,4,2325
Small,11.6,28,Front,5,2440
Compact,16.5,26,Front,5,2970
Van,19.1,18,4WD,7,3735
Sporty,32.5,17,Rear,2,2895
Compact,31.9,20,Rear,5,2920
Midsize,61.9,19,Rear,5,3525
Sporty,14.1,23,Front,4,2450
Midsize,14.9,19,Rear,5,3610
Small,10.3,29,Front,5,2295
Midsize,26.1,18,Front,5,3730
Small,11.8,29,Front,5,2545
Compact,15.7,24,Front,5,3050
Van,19.1,17,Front,7,4100
Midsize,21.5,21,Front,5,3200
Compact,13.5,24,Front,5,2910
Midsize,16.3,23,Front,5,2890
Van,19.5,18,Front,7,3715
Large,20.7,19,Front,6,3470
Sporty,14.4,23,4WD,4,2640
Small,9,31,Front,4,2350
Compact,11.1,23,Front,5,2575
Sporty,17.7,19,Rear,4,3240
Midsize,18.5,19,Front,5,3450
Large,24.4,19,Front,6,3495
Compact,28.7,20,Front,5,2775
Small,11.1,28,Front,5,2495
Small,8.4,33,4WD,4,2045
Small,10.9,25,4WD,5,2490
Compact,19.5,23,4WD,5,3085
Small,8.6,39,Front,4,1965
Small,9.8,32,Front,5,2055
Sporty,18.4,25,Front,4,2950
Midsize,18.2,22,Front,5,3030
Van,22.7,18,4WD,7,3785
Small,9.1,25,Front,4,2240
Van,19.7,17,Front,7,3960
Compact,20,21,Front,5,2985
Sporty,23.3,18,Front,4,2810
Compact,22.7,21,Rear,5,2985
Midsize,26.7,20,Front,5,3245
